代码,现价,涨跌,MA5,MA10,MA20,RSI,量比,评分
920992,15.56,4.15,14.96,14.87,14.74,57.1,1.46,100
920926,14.99,3.67,14.42,14.31,14.23,60.7,1.95,100
920924,22.33,3.57,20.97,20.25,20.14,62.7,1.73,100
920914,26.26,7.18,24.84,23.82,23.4,65.8,2.53,100
920906,24.64,4.36,23.74,23.54,23.37,61.3,2.18,100
920885,20.93,3.97,20.04,19.53,19.31,69.0,1.72,100
920879,20.47,3.54,19.89,19.79,19.72,60.2,1.95,100
920876,25.23,3.91,24.19,23.78,23.6,67.4,1.69,100
920866,7.73,2.79,7.55,7.52,7.49,58.5,1.27,100
920857,25.5,0.95,25.2,24.99,24.71,47.6,1.48,100
920856,13.62,4.37,13.08,13.04,12.98,63.5,1.92,100
920855,16.37,4.47,15.74,15.69,15.48,64.3,1.54,100
920839,35.54,8.82,33.52,33.16,32.4,66.3,2.38,100
920832,6.84,3.01,6.66,6.6,6.58,62.6,1.39,100
920826,10.89,2.25,10.44,10.21,10.12,69.7,2.49,100
920810,11.67,3.46,11.28,11.23,11.13,65.9,1.99,100
920809,8.39,3.2,7.88,7.61,7.46,63.2,2.04,100
920925,17.48,3.13,17.03,16.9,16.83,59.7,1.47,100
920896,17.77,5.27,17.02,16.74,16.64,65.0,2.25,100
920953,31.34,4.08,30.05,29.47,29.28,65.2,2.24,100
920970,7.65,1.59,7.61,7.29,7.01,61.6,1.52,100
920943,21.3,5.86,20.28,19.94,19.89,65.2,2.33,100
920946,10.39,2.87,10.12,10.05,9.83,64.9,1.43,100
920957,11.46,4.37,11.07,10.99,10.94,58.7,1.36,100
920950,16.34,4.14,15.75,15.7,15.65,62.1,2.18,100
920892,15.55,5.42,14.84,14.64,14.47,73.1,3.66,80
920808,82.2,3.14,78.76,74.6,72.84,73.6,2.61,80
920821,25.1,15.14,22.33,21.77,20.98,76.9,4.1,80
920982,184.45,2.98,178.25,176.01,168.13,71.3,1.23,80
920971,29.95,16.67,26.64,25.91,25.41,73.8,4.41,80
920974,7.77,2.78,7.55,7.5,7.54,56.8,1.84,70
920819,3.58,2.29,3.54,3.55,3.57,46.7,1.68,70
920978,28.53,8.23,26.84,26.93,26.59,59.2,1.69,70
920976,31.16,2.84,30.66,30.7,30.12,59.5,1.25,70
920833,16.11,4.68,15.32,15.16,15.42,53.8,1.87,70
920834,12.24,3.99,11.81,11.78,11.85,56.0,1.85,70
920837,12.89,3.2,12.46,12.37,12.4,56.1,1.49,70
920931,12.32,2.58,12.06,12.21,12.14,57.7,1.38,70
920964,5.99,2.57,5.85,5.86,5.91,52.3,2.1,70
920932,16.2,6.37,15.38,15.21,15.33,55.4,1.77,70
920870,14.86,4.65,14.24,14.05,14.11,63.2,2.52,70
920871,13.59,3.11,13.23,13.21,13.52,39.0,1.21,70
920895,17.28,4.85,16.58,16.45,16.47,57.6,1.69,70
920942,25.97,2.93,25.3,25.5,25.73,54.6,1.21,70
920961,23.99,6.86,22.74,22.3,22.3,63.9,2.11,70
920873,8.13,1.88,7.97,7.66,7.23,79.6,1.12,65
920985,6.99,2.95,6.81,6.75,7.26,35.0,0.76,55
920981,32.3,8.5,30.41,30.65,29.07,71.0,1.96,50
