代码,现价,涨跌,MA5,MA10,MA20,RSI,量比,评分
920992,15.56,4.15,14.96,14.87,14.74,57.1,1.46,100
920855,16.37,4.47,15.74,15.69,15.48,64.3,1.54,100
300225,6.02,3.79,5.82,5.47,5.35,66.0,1.63,100
301479,108.88,6.17,100.55,97.16,94.97,66.4,1.91,100
002108,5.58,10.06,5.11,4.95,4.84,68.8,3.03,100
688432,15.15,3.2,14.62,14.36,14.07,68.6,1.34,100
301458,35.81,2.78,34.94,34.8,34.32,60.6,1.7,100
300235,13.8,2.37,13.35,13.27,12.9,66.4,1.29,100
301446,40.0,3.87,37.67,37.61,37.43,61.0,1.95,100
300236,87.86,4.98,84.96,81.82,78.05,69.6,1.64,100
920807,12.3,3.54,11.89,11.71,11.65,62.2,1.64,100
301421,98.53,4.39,95.49,95.19,90.29,68.2,1.7,100
920809,8.39,3.2,7.88,7.61,7.46,63.2,2.04,100
920810,11.67,3.46,11.28,11.23,11.13,65.9,1.99,100
920826,10.89,2.25,10.44,10.21,10.12,69.7,2.49,100
920832,6.84,3.01,6.66,6.6,6.58,62.6,1.39,100
300251,16.67,3.16,16.44,15.93,15.52,64.4,1.53,100
600549,62.85,1.57,59.54,58.02,56.95,59.5,1.63,100
300221,11.34,3.47,10.62,10.18,9.99,65.8,1.71,100
002725,16.55,2.8,16.25,15.99,15.5,69.6,1.46,100
002149,54.8,2.16,51.51,49.04,48.0,60.1,1.21,100
002114,8.91,1.14,8.75,8.63,8.57,57.1,1.27,100
002119,23.45,3.85,22.18,21.65,21.0,69.5,2.36,100
000561,9.98,0.1,9.88,9.71,9.63,61.6,1.27,100
002134,22.7,2.07,22.33,21.45,20.85,66.8,1.3,100
688367,39.3,2.96,37.95,37.82,36.99,69.0,1.67,100
002141,3.87,2.11,3.8,3.75,3.73,54.5,1.45,100
601933,4.11,3.53,3.94,3.83,3.81,65.9,3.2,100
600577,13.25,6.34,12.56,12.4,12.2,66.4,1.9,100
002687,5.08,3.67,4.87,4.82,4.81,57.2,3.93,100
601882,19.66,2.5,19.21,18.95,18.94,64.3,1.64,100
002692,6.6,2.33,6.58,6.31,6.01,62.8,1.48,100
002693,8.5,1.67,8.37,8.14,8.09,52.0,1.31,100
688385,71.91,3.02,69.56,68.45,67.9,58.2,1.35,100
600590,15.84,5.74,14.92,14.43,14.1,68.2,1.28,100
920839,35.54,8.82,33.52,33.16,32.4,66.3,2.38,100
603877,14.72,2.51,14.28,14.14,13.98,64.9,2.06,100
920856,13.62,4.37,13.08,13.04,12.98,63.5,1.92,100
920896,17.77,5.27,17.02,16.74,16.64,65.0,2.25,100
300809,35.71,6.76,33.88,33.31,32.91,68.2,2.95,100
300817,20.32,0.3,20.31,18.97,18.34,67.9,1.33,100
920970,7.65,1.59,7.61,7.29,7.01,61.6,1.52,100
920957,11.46,4.37,11.07,10.99,10.94,58.7,1.36,100
920953,31.34,4.08,30.05,29.47,29.28,65.2,2.24,100
920950,16.34,4.14,15.75,15.7,15.65,62.1,2.18,100
920946,10.39,2.87,10.12,10.05,9.83,64.9,1.43,100
920943,21.3,5.86,20.28,19.94,19.89,65.2,2.33,100
920857,25.5,0.95,25.2,24.99,24.71,47.6,1.48,100
920926,14.99,3.67,14.42,14.31,14.23,60.7,1.95,100
920925,17.48,3.13,17.03,16.9,16.83,59.7,1.47,100
920924,22.33,3.57,20.97,20.25,20.14,62.7,1.73,100
920914,26.26,7.18,24.84,23.82,23.4,65.8,2.53,100
920906,24.64,4.36,23.74,23.54,23.37,61.3,2.18,100
300260,49.87,1.84,49.14,48.4,47.83,58.2,1.44,100
300833,34.26,1.0,33.87,33.54,33.39,56.8,2.0,100
920885,20.93,3.97,20.04,19.53,19.31,69.0,1.72,100
301371,24.23,0.12,24.07,23.35,22.94,68.6,1.3,100
920866,7.73,2.79,7.55,7.52,7.49,58.5,1.27,100
920879,20.47,3.54,19.89,19.79,19.72,60.2,1.95,100
920876,25.23,3.91,24.19,23.78,23.6,67.4,1.69,100
603803,15.75,3.62,15.35,14.53,14.26,62.9,1.05,85
300787,12.35,0.57,12.23,11.97,11.82,64.6,1.05,85
002670,14.62,0.27,14.61,14.45,14.37,57.2,0.72,85
300798,11.95,-10.95,11.32,10.54,10.08,65.2,2.28,85
601956,6.74,0.3,6.72,6.62,6.53,61.7,0.85,85
002148,7.79,0.52,7.71,7.61,7.52,61.5,1.11,85
002144,15.48,1.18,15.19,14.93,14.67,64.1,0.89,85
301386,26.54,1.1,25.97,25.41,25.1,61.9,0.93,85
002137,8.4,0.6,8.31,8.18,8.16,56.9,0.64,85
002136,13.03,1.24,12.76,12.6,12.54,54.7,0.81,85
300815,21.46,0.47,21.14,20.95,20.79,58.1,1.17,85
301379,26.03,0.58,25.65,24.89,24.74,57.3,1.1,85
300791,21.25,-0.89,21.14,20.8,20.44,54.9,1.3,85
002130,25.62,0.2,25.43,24.64,24.21,66.4,0.86,85
603815,6.57,-1.79,6.23,6.02,6.01,62.2,2.95,85
301383,29.34,0.41,28.77,28.08,27.67,65.9,0.84,85
603836,13.01,0.31,12.9,12.86,12.85,50.4,1.0,85
002120,6.82,-2.01,6.78,6.73,6.7,51.7,1.31,85
300802,19.27,1.42,18.95,18.76,18.42,66.0,0.8,85
002115,12.57,0.56,12.38,12.23,12.09,62.2,1.08,85
603859,39.69,0.08,38.9,38.08,37.53,61.3,0.98,85
300801,26.8,0.6,26.64,26.37,26.0,52.3,0.93,85
603867,33.38,1.61,32.68,31.56,30.77,62.2,0.86,85
300786,15.0,0.67,14.92,14.77,14.53,58.5,0.91,85
300252,14.25,0.99,14.15,14.04,13.55,68.3,0.97,85
301389,58.0,0.9,57.09,54.3,52.76,62.6,0.76,85
300242,4.82,1.26,4.75,4.72,4.72,51.0,1.12,85
301487,22.63,1.39,22.21,21.3,21.09,58.1,0.84,85
301488,136.89,1.53,134.82,131.51,130.72,59.0,1.14,85
301499,34.34,-1.38,33.83,32.15,31.14,68.3,1.43,85
600539,17.07,4.92,15.95,15.2,14.27,68.0,0.89,85
300241,6.97,2.5,6.83,6.72,6.71,58.5,1.04,85
600545,4.34,3.83,4.25,4.06,3.91,67.8,1.09,85
300224,15.0,0.67,14.85,14.63,14.43,57.2,0.78,85
300223,116.79,0.59,114.77,111.69,111.18,56.9,0.92,85
300258,12.92,0.31,12.86,12.44,12.22,64.7,0.99,85
600551,8.22,0.24,8.07,8.03,7.99,61.2,0.78,85
300220,14.17,0.35,13.99,13.9,13.86,51.9,1.03,85
300219,7.81,1.43,7.68,7.53,7.43,66.4,0.85,85
300214,7.86,-2.0,7.59,7.32,7.29,57.1,1.43,85
600568,2.95,2.08,2.95,2.9,2.83,63.5,0.85,85
300259,4.88,0.41,4.8,4.66,4.65,55.5,0.85,85
600572,4.68,-5.26,4.63,4.52,4.42,63.1,2.85,85
002721,3.01,-2.9,3.01,2.93,2.9,54.4,1.8,85
600581,3.03,2.36,2.91,2.8,2.76,66.7,1.07,85
002716,12.08,0.25,12.01,11.92,11.87,54.3,0.85,85
600588,12.38,0.16,12.25,12.03,11.93,61.3,0.88,85
600592,20.24,0.6,20.2,19.91,19.84,57.8,0.96,85
002695,11.33,1.98,11.08,10.89,10.76,61.0,1.0,85
301369,168.88,-2.84,162.13,150.79,142.78,68.0,1.57,85
301469,34.25,0.26,33.81,32.96,32.12,62.9,0.79,85
002152,12.11,0.41,12.02,11.82,11.72,65.0,0.77,85
300797,15.65,0.9,15.35,15.04,14.82,67.8,1.05,85
688395,26.76,0.45,26.35,26.02,25.68,57.5,0.73,85
688409,99.13,0.01,98.47,96.19,91.83,61.5,0.98,85
688448,62.91,1.98,60.18,56.88,55.45,68.4,0.92,85
688371,21.25,0.47,20.98,20.5,19.74,63.8,0.81,85
688419,49.3,0.8,48.59,48.15,45.15,68.3,0.71,85
688377,40.3,1.51,38.98,37.98,37.45,68.3,0.71,85
688380,46.87,0.06,46.44,44.78,43.71,66.6,0.78,85
688396,49.25,0.35,48.87,48.14,46.81,62.5,1.06,85
603888,20.44,0.1,20.21,20.02,19.92,56.1,0.8,85
000546,6.83,-3.53,6.7,6.46,6.29,53.4,1.84,85
688378,37.84,0.75,37.52,36.46,35.45,61.5,1.03,85
603878,8.26,-0.12,7.85,7.64,7.59,63.9,2.24,85
002723,10.7,7.11,10.13,9.69,9.38,71.3,2.24,80
920821,25.1,15.14,22.33,21.77,20.98,76.9,4.1,80
688401,57.09,4.56,54.11,52.95,50.49,76.1,1.78,80
002132,4.54,2.71,4.33,4.16,3.97,72.4,2.48,80
603889,9.3,2.65,9.04,8.48,8.08,76.5,1.5,80
688368,153.41,4.95,146.53,140.56,131.2,79.3,1.28,80
600562,28.5,4.05,27.6,26.16,25.67,73.4,1.87,80
300821,13.93,0.51,13.85,13.48,12.4,70.6,1.29,80
002674,13.68,2.09,13.41,13.11,12.8,72.1,1.99,80
301377,225.22,3.96,219.86,211.9,197.32,71.5,1.46,80
